id,text,hate_type,hate_severity,to_whom
509559,পরিমনি এখন আর বোট কেলাব জাওয়া ছেরে দিলো নাকি,Abusive,Little to None,None
928884,ভাই কেও কি পারেন ওর হুগায় একটা লাথি মারতে,Profane,Severe,None
659471,সময় টিভি সংবাদ শুনলে গা জলে উঠে,Abusive,Mild,None
291039,পারেন নি বাতিলের ব্যাবস্থা নিন মামলা করেন প্রমাণ করেন ওটা ওদের নয় আমাদের সফলতা কোনটা ওটা আমাদের সেটা ফিরিয়ে আনা হোক,Political Hate,Little to None,None
801623,সুখে থাকতে ভুতে কিলায়,Abusive,Little to None,None
613833,এত দেখি বালে কারনে বাচ্চা আটকিয়ে যাওয়ার হিসাব,Profane,Severe,None
718306,এতো দেখি বুড়া বলদ জেনে শুনেই নিয়ম ভেঙেছে,Abusive,Little to None,None
899804,খেলিয়া লাভ নাই এই টিম নিয়ে মাটে নামলে হারবে,Abusive,Little to None,None
423343,ঋণ নিয়ে দেশটাকে অন্যের কাছে বিক্রি করে দেন,Abusive,Severe,None
83835,ফালতু বগবগ কইরা আর লাভ নাই,Abusive,Mild,None
95832,কুত্তা নির্বাচন এই নির্বাচনের কেউ ভোট দেবে না,Political Hate,Little to None,None
236784,শালা মিথ্যুক দালাল ও মুনাফিক,Abusive,Mild,None
413841,এই মূর্তি পূজারীরা ঠিকই এক হয়ে যাবে কিন্তু আমরা এক হতে পারি না,Abusive,Little to None,None
32418,এই মেয়ে কন্টিনিউয়াস মিথ্যা বলতেছে চান্স পাবেনা জেনেই এই নাটক পাশের হলে থাকা স্টুন্ডের সাথে কথা হয়েছে ডিভাইস পাওয়া গেলে চিল্লাচিল্লি হতো তারা কিছুটা হলেও শুনতো কিন্তু তারা কোন শব্দ পায় নি আর হলে ৬ জন ইনভিজিলেটর ছিল ঐ হল থেকে কাউকে বহিষ্কার করাও হয়নি ৬ জন ইনভিজিলেটরই মিথ্যা বলবে এটা সম্ভব বলে মনে করি না,Abusive,Little to None,None
127543,বাল হয় এতেপরিবেশের জন্য মারাত্মক ক্ষতিএসব বন্ধ করা উচিত,Profane,Severe,None
915911,সাংবাদিক হালা পাগল প্রথমে ২৩ উইকেট পরে গেলে সবার ি স্টাইক রেট কমে যাবে শান্ত তিনে মোটামুটি ভালো ই খেলছে সকিব বিশ্ব সেরা সে সব পজিশনে খেলতে পারে,Profane,Little to None,None
590535,তোরা কোন দিন মানুষ হলি না সময় টিভি মানে পাচাটা গোলামী,Abusive,Mild,None
323114,ওর গান শুনে রাস্তা কুকুর চিল্লাইতাছে যখন বন্ধ করছি তখন চিল্লানো বন্ধ করে দিছে,Abusive,Mild,None
930782,আর কতো খেলোয়াড় এবাবে অভিমানে বিদায় নিলে ক্রিকেট বোডের হুস হবে জানি না,Abusive,Little to None,None
276240,বিদ্যুৎ উৎপাদন করে কি দিয়ে গাঁজা খোর সাংবাদিক,Abusive,Little to None,None
236122,ওবায়দুল কাদের কেনো মরে নাআজরাইল কি দেখে না আমরা আর পারি না সইতে,Abusive,Severe,None
675171,সেন্টি কেট করলে এমনিই হবে আল্লাহর কাছে বলি এই গুদামঘর গুলো ধংস করে দিন,Abusive,Mild,None
76223,বাক্যটা যেনো এমন না হয় আই এম রেডি টু সেইভ মাই পকেট,Abusive,Mild,None
356935,এখন এই জিম্বা বুয়ে বাংলাদেশ কে হারিয়ে নাকানি চুবানী খাইয়ে দেয়,Abusive,Little to None,None
735722,এই পূথিবীতে টিকে থাকতে হলে সব মুসলিম দেশের এক হয়ে কাজ করা উচিত,Political Hate,Little to None,None
472227,সবি হাচিনার চাল,Political Hate,Mild,None
813556,সন্দেহহীন ভাবে বলতে পারি৩য় বিশ্বযুদ্ধের ঈঙ্গিত পাওয়া যাচ্ছে,Political Hate,Little to None,None
788242,ওরা মনে হয় বাংলাদেশ থেকে এই সমস্ত অপকর্ম শিখ্ছে,Abusive,Little to None,None
191369,যদি এই স্বৈরশাসকের সমাপ্তি হয় সবার আগে এই সময় টিভি সবচেয়ে মর্মান্তিক ফুটকি মারা খাবে,Profane,Severe,None
709058,হা হা হা হলুদ সাংবাদিক,Abusive,Mild,None
404783,সময় টিভির নিউজ বিশ্বাস করা যায় না তারা ভুলবাল উপস্থাপনা করে,Abusive,Little to None,None
446957,পশ্চিমা ভুয়া নিউজ,Abusive,Little to None,None
107921,দেশের ১২টা বাজাইয়া এখন বলেন বিনপির কাজ শালা ছাগলের তিন নাম্বার বাচ্চা,Profane,Mild,None
96808,ওরা নিজেরাই গুপ্ত হত্যা করে র উপরে দোষ চালাতেও চাইতে পারে,Abusive,Mild,None
409110,মহান আল্লাহ তায়ালার কাছে দোয়া করি হে আল্লাহ আপনি আপনার বান্দা ইহুদীদের যেভাবে হেফাজত করে চলেছেন সেইভাবেই হেফাজত করতে থাকুন,Religious Hate,Mild,None
502422,সাব্বাস দেবর ভাবিরা বেঁচেই থাকে দেবরদের ভরসায়,Sexism,Little to None,None
443309,ইউটিউব কোম্পানির এর যন্ত্রণায় মোবাইলটা ভেঙ্গে ফেলতে ইচ্ছে করে এখন দেখছি সময় এর খবরের মাঝখানে হায়রে কোথায় যাবোতাই আনসাবস্ক্রাইব করতে বাধ্য হলাম,Abusive,Little to None,None
738233,সারে কোঠি টাকা হলে বাংগালি প্রবাস কাজ করতো না রে ভাইতবে তারা ছুইচ ব্যাংকে টাকা রাখে কি রেএই সব টাকা দেশের শিক্ষিত ব্যাক্তিরা গরীবের টাকা চুসে নিয়ে বিদেশে রাখছে,Abusive,Little to None,None
276176,মুনাফিক এর দল,Religious Hate,Severe,None
390166,কি বাল দেখতে দেওয়া লাগবে,Profane,Little to None,None
415658,ওশালা যুদ্ধবাজ মরে যাওয়াই ভালো,Profane,Severe,None
397924,সারা বিশ্বের অশান্তি সৃষ্টি করে শান্তির কথা বলে,Abusive,Little to None,None
333270,নির্দলীয় নিরপেক্ষ সরকারের অধীনে জাতীয় নির্বাচন দিন টেক্সের টাকায় দেশ আগাবে এটাই স্বাভাবিক কিন্তূ ভোট চুরি ডাকাতি আর চাইনা,Political Hate,Mild,None
485208,মৃত্যুদনড দেওয়া হোক তারাতাড়ি,Abusive,Severe,None
781358,ধর্ম যার যার উৎসব সবার বিয়ে যার যার বউ সবার,Religious Hate,Mild,None
69508,আল্লাহ উনাকে জান্নাতুল ফেরদৌস নসিব করুক কিন্তু পদ্মা সেতুর দুর্নীতির টাকা কি কি কাজে আসলো,Abusive,Little to None,None
79228,তোমরা দাদাদের কাছে চায়না দের কাছে রাশিয়ার কাছ কি কর মাদারবোর্ড,Profane,Severe,None
205879,লজ্জা করে না এদের,Abusive,Severe,None
472086,সাংবাদিক ভুল বলছেন সব দোষ মোটরসাইকেলের,Abusive,Little to None,None
724484,ভিডিওর তথ্যগুলো গুজামিল দেয়াঅনেক ভুল আছে,Abusive,Little to None,None
566318,রাজস্বর সব টাকা এগুলা করে করে শেষ করতেছে,Political Hate,Mild,None
526539,পুরা ফ্যামিলি আচোদা,Profane,Severe,None
668969,এই দেশে দালাল চটকদার তেলবাজ বাটপারদের কদর আছে কিন্তু ভালো মানুষ ভালো কাজের কোন খাওয়া নাই সরকারের কাছে,Political Hate,Mild,None
571045,স্বামী স্ত্রীর সম্পর্ক অটুট রাখতে জাতিসংঘের সহায়তার প্রয়োজন নাই জাতিসংঘকে চুরি চোট্টামি বুঝতে দেয়া যাবেনা তত্ত্বাবধায়ক সরকারের অধীনে নির্বাচন হলে ভোট কেন্দ্রে যাবো,Political Hate,Mild,None
739982,ইউক্রেন রাশিয়ার একটা মশা মারলেও সেইটা ভিডিও কইরা ছাইড়া দেয় আর মস্কোভার মত ক্রুজার ক্ষেপনাস্র দিয়া ধ্বংস করছে অথচ তার কোন ভিডিও তো দূরে থাক স্টিল পিকচারও দেয় নাই খুবই চিন্তার বিষয়,Political Hate,Mild,None
602479,মাদার অব মাফিয়া মায়ের নতুন নাটক,Abusive,Little to None,None
653820,আল্লাহ পাক যেটা আমাদের জন্য হালাল করেছেন সেটা নিশ্চয়ই কারোর কথাতে কোন ক্ষতির কারণ হতে পারে না ইনশাল্লাহ আল্লাহর উপর ভরসা করে প্রয়োজনে গরু যাবেহবা গরুর দুধ পান করা উচিত,Religious Hate,Little to None,None
3736,বিজিবি টাকা খাইতে ব্যস্ত,Abusive,Mild,None
594507,আর কতে মিথ্যা বিলবি,Abusive,Mild,None
239068,গাজাঁ কি এরা খাই নাকি এদের কে গাজাঁ খাই,Abusive,Mild,None
385586,এটা একটা চাল কুটনৈতিক চাল,Political Hate,Little to None,None
42984,আমাদের লিস্ট একটু দেখাবেন,Abusive,Little to None,None
410510,হাহা দেয়ার কি আছেদেখেন আবার কোন মুসলিমদের বুরুদ্ধে ফন্দি করে,Religious Hate,Mild,None
214358,দেশে কোন সহিংসতা সহিংসতার সাথে মারামারি সাথে যদি পুলিশ না জড়িত হয় তাহলে তো অনেক ভালো কিন্তু দেশে পুলিশ একমাত্র জড়িত হওয়ার কারণে গুল্লি চালানোর কারণে সাধারণ,Abusive,Little to None,None
669509,গ্যাসের সংকট চলছে আজকে নিয়ে চার দিন হলুদ মিডিয়ার কাতুকুতু লাগছে আজ,Abusive,Little to None,None
309517,পাপোনদা আার মূর্খ কোচ হাতুড়ি দিয়ে কি হবে আর,Abusive,Little to None,None
1467,চট্টগ্রামে বহদ্দারহাট মোড়ে প্রতি গাড়ি ১০০ টাকা করে চাঁদা নেয়া হয় পাশেই পুলিশ বক্স দুঃখের বিষয় এরাও এর সাথে জড়িত,Abusive,Severe,None
414730,হজরতের চামচাগুলোর হাসি বন্ধই হচ্ছেনা,Abusive,Severe,None
898495,ভারতের যখন এতোই সমস্যা তাহলে তাদের উচিত বৃষ্টির মধ্যে খেলা চালিয়ে যাওয়াযত্তসব বাল পাকনামি কাহিনি,Profane,Severe,None
241815,সব মরা মরছে আইসা ঐ রাখাইনে,Abusive,Little to None,None
858636,ক্ষমতা চিরস্থায়ী না,Abusive,Little to None,None
439903,মিনিটের ভিডিও মধ্যে বালের এড,Profane,Little to None,None
896774,সাকিব্বা হাতুরা ক্রিকেটকে ধ্বংস করে ছাড়বে,Abusive,Severe,None
258727,সবাই তো মুসলমান ইসলামের এই হাল এদেশের মানুষের পচে যাবে কিন্তুু মানুষদের খাওয়াবেনা বেশি মুনাফা করতে হবে বাঙালি করে রেখেছো মানুষ করনি,Political Hate,Mild,None
922476,ইন্ডিয়ার আছে অগ্রেসিভ ব্যাটসম্যান বলার ফিল্ডার কাংলাদেশের আছে অগ্রেশিভ চাপাবাজ সমর্থক,Abusive,Mild,None
650205,সরকারি অফিসারেরা আবার কাজ ও করে আবার কর্ম ঘন্টা কমানো হলো তাহলে বেতন ও আনুপাতিক হারেই কমানো হোক যেনো ঐ টাকা তথাকথিত উন্নয়ন এ ব্যায় করা যায়,Abusive,Little to None,None
300680,জাপানের প্রধানমন্ত্রী উন্নয়ন দেখে বিস্মিত হয় নাই জাপানের প্রধানমন্ত্রী এই দেখে বিস্মিত হয়েছে যে বাংলাদেশ ৫০ বছরে ভালো জনগণের টাকা মেরেছে তাই আর হাসি তামাতে পারতেছে না দেখে বুঝা যাচ্ছে,Abusive,Mild,None
158868,লুটপাট করা টাকা,Abusive,Little to None,None
436247,মিনিটের জাইগা এখন পাহাড় হয়েগেছে,Abusive,Little to None,None
455503,কোনো বিচার হবে না,Abusive,Little to None,None
929892,অথচ আফগানিস্তানের বেয়াদব পোলাপান সেদিন পাকিস্তানের সাথে কামডা করলো কী,Abusive,Mild,None
900226,তুমি খেলা বুজ বাল,Profane,Little to None,None
111742,আল্লাহর ওলি সবগুলা,Religious Hate,Little to None,None
480655,মাঙ্গের এ্যাড বাদ দিয়া ভালো দিতে পারেন না,Profane,Little to None,None
157090,সামনে নির্বাচন তাই নাটক শুরু,Abusive,Little to None,None
334533,পতিতার বাজার এখান থেকে বাছাই হবে ওবায়দুল কাকুর জন্য তার পর ছোট ছোট চামচা দের জন্য,Abusive,Mild,None
914164,১০০০০০০০০০০০০০০০০০০০০০০০০০০০ রাইট অহংকারী হয়ে পড়েছে তারা,Abusive,Mild,None
324922,তরুনী না বুড়ি,Abusive,Little to None,None
217208,শেখ হাসিনার উচিৎ দ্রত পদত্যাগ করে নিরপেক্ষ নির্বাচন দিয়ে দেশে শান্তি ফিরিয়ে আনা,Political Hate,Little to None,None
38886,সালা মীরজাফর বাটপার,Abusive,Mild,None
836974,বাল পাকনার ভার্সন,Profane,Severe,None
857583,অস্ট্রেলিয়ান গাই টা,Sexism,Mild,None
104882,ছার ফোয়রে অন্ডকোষে চাপ দিয়ে দিয়ে মেরে ফেলা উচিৎ,Abusive,Severe,None
366514,মশার কোনো গ্যারান্টি নেই তাদের পরান থাকে মানুষের দুহাতের তালুতে ভারত সেই মশা তাদের পরান থাকে পাকিস্তান আর চীনের কাছে এরা দুরেবসে পায়তারা করতে পারে কিন্তু এদের সময় থাকে আরেক জনের কাছে এরা কি করবে এদের দেশের নামি তো ঠিক নেই জয় হোক ফিলিস্তিনি মুসলিম ভাই বোনদের আল্লাহ্ পাক সহায় হোক,Political Hate,Mild,None
727009,দালাল বলদ ভিক্ষুক যুদ্ধবাজ নাৎসি জেলেনস্কির চেহারা ভচ্কায়ে গেছে দেখতে পাচ্ছি এইবার তার মাজা ভেঙে গুরিয়ে দাও,Abusive,Severe,None
623520,এক নতুন নাটকের শুরু সতর্ক থাকা উচিৎ,Abusive,Severe,None
422748,ওগো আল্লাহ আপনি ফিলিস্তিন মুসলমানদের হেফাজত করুন এবং ইসরায়েল নামক ইহুদী রাষ্ট্রটিকে ধ্বংস করে দিন,Abusive,Severe,None
782996,খেলনা ড্রোন দিয়ে কোনো বাল ও ছিরতে পারছে না এটা খুদ রাশিয়ার সেনাবাহিনী বলতাছে শুধু শুধু এর জারি জুরি সব ইজ্রায়েল এর হাতে চলে গেলো,Political Hate,Severe,None
221877,বি এন পির জন্ম লগ্ন থেকে তো শুধু খুন করে আসছে জিয়া ১৫০০ মুক্তি যোদ্ধা সেনাবাহিনীর কর্মকর্তা দের কে খুন করেছ হাজার হাজার আওয়ামি লিগ এর নেতা কর্মিদের হর্তা করেছ এটা তো খুনি জিয়ার দল তারাতো মানুষ মারবে এটা তো তাদের পরমপরা,Political Hate,Severe,None
867935,কোন বালের বিশ্ব রেকর্ড করল,Profane,Mild,None
846248,বাংলাদেশের এই অবস্থা দেখার জন্যই কি লক্ষ শহীদ জীবন উৎসর্গ করেছিলেন কোন শালারা বলে স্বাধীন বাংলাদেশ সকল মানুষের সমান অধিকার প্রতিষ্ঠিত করার জন্য মনে হয় আরো একবার যুদ্ধের প্রয়োজন,Profane,Severe,None
814340,আল জাজিরার সাংবাদিক হত্যাইজরাইলের পরিকল্পিত,Political Hate,Mild,None
112914,কত অসহায় হলে বারবার অঙ্গীকার করতে হয় আমরা আর চুরি করবোনানাকে খত দিলেও বিশ্বাস করে না বাংলাদেশের মানুষ,Political Hate,Severe,None
349353,বালের এড চোদাও খানকির পোলারা,Abusive,Severe,None
403998,কচুর জাতের সংঘ,Abusive,Little to None,None
83140,আহারে কই পাইলো এরকম জনগন,Abusive,Little to None,None
117802,চুন্নু একটা বিশ্ব বাটপার,Abusive,Severe,None
409191,বি এন পি তো মিথ্যা দিয়েই জম্ম ইতিহাস দেখেই তো স্পষ্ট,Political Hate,Mild,None
79676,চোরা তারেক নিপাত যাক গণতন্ত্র বহাল থাক,Political Hate,Little to None,None
561440,চিন্তার কোনো কারণ নেই সামনে নির্বাচনে যদি পাশ করি তাহলে এই গাড়ি গুলো কে বয়ো শুকো ভাতা করে দেয়া হবে,Political Hate,Mild,None
232639,একদিকে বলছেন নির্বাচন চলাকালীন সময় অর্থাৎ তফসিল ঘোষণা থেকে নির্বাচন সম্পন্ন হওয়া পর্যন্ত কমিশন কে সব ক্ষমতা দিতে অপরদিকে নির্বাচন কমিশনের নির্দেশ পালন করতে চান না তখন সংবিধানের কথা বলছেন নাগরিক অধিকারের কথা বলছেন বিএনপি ও তার দোসরদের কে স্বয়ং সৃষ্টিকর্তাও বুঝতে পারবেন না,Political Hate,Little to None,None
620921,কাওয়া কাদেরের দুই গালে জুতা মারো তালে তালে,Abusive,Severe,None
819043,তোমরা দেখোনা ইসরায়েলের হামলাসে বপারে চুপ কেনো,Political Hate,Little to None,None
762840,যুক্তরাষ্ট্রের সবসময় ঢোলের দুই পেটে বাড়ি দেওয়ার রাষ্ট্র আজ যুক্তরাষ্ট্র যেটাই করে সেটা কোন অন্যায় হয় না মানবাধিকার লঙ্ঘন হয় না,Abusive,Little to None,None
53325,এ শালা তো টাকার লোভ সামলাতে পারবে না আমি নিশ্চিত ভাইয়েরা,Abusive,Mild,None
240469,সবাইকে তো দিছো সৌদি কেন বাদ থাকবে দে দে সব বেচে দে ক্ষমতা থেকে নামানোর পরে এর শোধ হারের হারে নিবো ইনশাআল্লাহ,Political Hate,Little to None,None
302370,প্রতিবন্ধি ডি এম পি কমিশনার,Abusive,Little to None,None
638827,আবেগীদের গালে টেক্স বসানো জন্য সরকারের প্রতি অনুরোধ করছি যুদ্ধ মিয়ানমারের সাথে করতে হবে না দেশের ভিতরে করুন,Political Hate,Mild,None
64378,বাকশাল ছাড়েন নাই তাই তো,Abusive,Severe,None
757096,মুসলমানদেরকে সন্ত্রাসী আক্ষা দেয় ইউরোপ আমেরিকা নিজেরা পৃথিবী জুড়ে সন্ত্রাস চালিয়ে যাচ্ছে,Religious Hate,Mild,None
510728,কি বলবো এইসব নোংরামি আর ভালো লাগে না,Abusive,Mild,None
407319,চিন রাশিয়া পালেস্টাইনকে উদ্ধার করে করে দিবে সব শালাই দালাল কারন মুসলিম চোদু জাতি নিজেদের ধ্বংস নিজেরাই করে কোন বিচারই মানে না সব সময় পাছা দিয়া ঠেলে যার ফল সাধারন মানুষের মৃত্যু,Religious Hate,Severe,None
922070,হাতির বাচ্চা ইয়াসির আলী কে জুতা মার উচিত,Abusive,Little to None,None
456877,বালের একটা বিজ্ঞাপন পাইছে,Profane,Severe,None
169304,সাদিক আব্দুল্লাহ একটা দুর্নীতিবাজ বাটপার তাকে মনোনয়ন নাদিয়ে প্রধানমন্ত্রী ভাল করেছেন,Abusive,Mild,None
680298,এসব নোংরা রাজনীতি বন্ধ হউকএবং এদের হাত থেকে জাতির মুক্তি হউক,Political Hate,Mild,None
93681,এরা কি টাইপ এর বলদ বুঝিনা নেশা করে নাকি,Abusive,Mild,None
688414,একটা রাম ছাগল আস্তা ছাগল এইসব পাগলদের জন্্য এই সমস্যা দেশ এর,Abusive,Little to None,None
157218,নাটকের মা রে টুত টুত,Abusive,Severe,None
593341,আল্তু ফাল্তু মন্ত্রী বালও বুঝেনা,Profane,Severe,None
621848,কুওালীগ যে ছাএদের বিরুদ্ধে লেলিয়ে দিছেআপন্দের চরিত্র ফুলের মতো চরিত্র,Political Hate,Little to None,None
276461,বাংলাদেশের শিক্ষা ব্যবস্থা বাজে,Political Hate,Mild,None
232905,দ্রুত আইনের আওতায় আনা হোক,Abusive,Mild,None
593596,ভারত থেকে না এনে আমাদের ভাই পাকিস্তান থেকে আনলে ভাল হত কিন্তু দুঃখের বিষয় হল আমাদের ভাই পাকিস্তানের তো কিছুই নেই আছে শুধু সন্ত্রাস,Abusive,Little to None,None
836207,এবার তোমাকে নুনু খাওয়াবো,Profane,Mild,None
894098,বিশ্বকাপ দল থেকে লিটন দাসকে বাদ দেওয়া হোক এটাই বড় সিদ্ধান্ত হবে,Abusive,Little to None,None
557948,আর খালেদা জিয়াকে হত্যার উদ্দেশ্যে সরাসরি উনার গাড়ি বহরে যারা হামহা করেছিলো তারা কি ছিলো দলকানা মাদারবোর্ড তুমি কি বালের সাংবাদিক,Profane,Little to None,None
765379,তিব্বত স্বাধীন থাকতে চাই আর তিব্বতটা চায়না ছিল না যুদ্ধ করে নিয়েছে সেই ব্যাপারে ভিডিও দেখ,Abusive,Little to None,None
173717,এটা হয় কিভাবে বাল,Profane,Severe,None
279670,স্মৃতি সৌধ শো ডাউন দেখানোর জায়গা নয় অন্তর থেকে শহীদদের প্রতি শ্রদ্ধা জানানোর জায়গা অন্তর থেকে শ্রদ্ধা না করলে যাবেন না অযথা লোক দেখানোর কি দরকার,Abusive,Little to None,None
426405,তবে হিন্দু হোক আর মুসলিম হোক হত্যাকাণ্ডের সঠিক বিচার দাবি করছিপৃথিবীটাকে সুন্দর করি,Religious Hate,Severe,None
626559,কমলদের চাকরি যাইবো কবে,Abusive,Little to None,None
35763,কে আসবে ভোট কেন্দ্র,Political Hate,Mild,None
780400,এখনও সময় আছে মূর্তি পূজা ছেড়ে এক আল্লাহর প্রতি ঈমান আনো,Religious Hate,Little to None,None
748796,হরেক রকমের পাগল দিয়ে মিলাইছো মেলা,Abusive,Mild,None
576806,পুলিশের উপরে নিষেধাজ্ঞা চাই আমেরিকার প্রতি আহবান,Abusive,Severe,None
370198,হে আল্লাহ্ আপনি ফিলিস্তিনের জনগণের জীবন রক্ষা করুন এবং সন্ত্রাসী ইসরায়েল কে ধ্বংস করুন,Abusive,Little to None,None
902112,আমাদের প্রধানমন্ত্রী তো অনেক ভালো উনি তো অনেক কিছুই দেখে উনি এটা দেখে নাই যে নান্নুর ষড়যন্ত্রে আমাদের ক্রিকেটটা ধ্বংস হয়ে যাচ্ছে আমাদের সাইলেন্ট কিলার কি অবশ্যই দলে চাই প্লিজ মাননীয় প্রধানমন্ত্রী হস্তক্ষেপ চাচ্ছি,Political Hate,Little to None,None
242867,সব চেয়ে বড় চোর,Abusive,Little to None,None
712563,কাঁদার কিছু নেইহাসিনা লাশের দাম তো দিতেছে ২৫ হাজার টাকা করে,Abusive,Little to None,None
456802,হাজার সোনা বেরা বাশ দিতে হবে লাখ লাখ কোটি টাকা লোড পাঠ বিদেশে পাচার,Profane,Severe,None
498531,নিউজটা শোনার পরে আমি খুব খুশি হয়েছি ধ্বংস হয়ে যা বাংলাদেশ চোর চোট্টা সব,Abusive,Mild,None
776108,ভাই রে রে রে রে রে ভাই অবাক হ্যাক করেছিল সময় টিভিকে এখনও মনে হয় হ্যাক ই আছে সময় টিভি তোমার আত্নার মাগফিরাত কামনা করি আমিন সবাই আমিন লিখুন,Abusive,Little to None,None
263079,এটা কি কোন ইতিহাস করার মত বিষয়,Abusive,Mild,None
754006,এমন ভুমিকম্প সিরিয়ায় না হয়ে ভারতে কিংবা নেপালে হলে আজকে এইখানে কমেন্ট করা অনেক মুমীন বান্দায় তখন এইটাকে আল্লার গজব বলে শুকরিয়া আদায় করতো,Abusive,Little to None,None
773590,অনেক আগে থেকেই ফাকিস্তানে এসব সন্ত্রাসী ও জঙ্গি গোষ্ঠীকে পালন করে আসছে তাই রাজনীতিবিদরা এমন হামলার স্বীকার হয় এসব হামলার তীব্র নিন্দা জানাই,Political Hate,Mild,None
876730,দুবেলা ভাত নাই অাইফোন,Abusive,Mild,None
645545,ভারতে গিয়া হাতেপায়ে ধরে বলে আসবে তাকে যেন এইবারও ক্ষমতায় বসায় যেভাবেই হোকআর বাকিটা থাকবে শাকদিয়ে মই ডাকা,Abusive,Little to None,None
652925,সম্পুর্ন মিথ্যা কথা এই চাল গুলো সাধারণ জনগণ পাইনা এই চাল গুলো আওয়ামী সদস্য ও আওয়ামী পরিবারের মধ্যে কার্ড বিতরণ করে চাল গুলো দেওয়া হয়,Abusive,Little to None,None
211064,সব মিথ্যা বানোয়াট কথা জনগনকে ভুল ভাল বোঝাচ্ছে আওয়ামী লীগ ফের বিনা ভোটে সরকার হওয়া জন্যে নাটক সাজাইছে জনগন সব বোঝে,Political Hate,Mild,None
316017,আমাদের পাপন নান্নু সুজন এদের বাদ দেয়া হোক,Abusive,Little to None,None
163734,খুশী হওয়ার কিছু নেই এটা খুনী হাছিনার উন্নয়ন ১০কাজ হবে বাকীটা জয়বাংলা হয়ে যাবে নয়ত আরও তিন চার দফায় বরাদ্দ বারিয়ে ৩২০০কোটি হবে উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন উন্নয়ন,Political Hate,Mild,None
77995,ডলার সংকট এবং রোহিঙ্গা সংকটের সমাধানে যুক্তরাষ্ট্রের সাথে আরও বেশি আলোচনা করা উচিত,Political Hate,Little to None,None
504211,সবাইকে বিনীত অনুরোধ করছি কেউ বিদ্যুৎ বিল দিবেন না বিদ্যুতের লাইন কাটতে আসলে ওদেরকে হোগামারা দিবেন,Profane,Severe,None
762492,কাংলু গুলো কই এখন দেখ মোদির,Abusive,Little to None,None
250272,এই দেশের গরিব দুখি মানুষের কাছ থেকে শুধ খেয়ে বিদেশিদের পিছনে ব্যয় করে এই দেশের মানুষের জন্য উল্লেখযোগ্য কিছু করেছেন কিনা আমার জানা নাই,Abusive,Severe,None
683029,বাংলাদেশে আসছে ভালোকথা আসার আর জায়গা পায় নাই,Abusive,Little to None,None
783606,মরনের পরে ও মায়ের কুল জাননাতের কুল ফজিলতেেনেছার গান চুরী বাকি আছে আপনার জীনটা নেয়া,Abusive,Little to None,None
411539,পাকিস্তানের মানুষ না খেয়ে মরে বাপ বেটা টাইটানিক জাহাজ দেখতে গেছে,Abusive,Little to None,None
